"Home name",Long,Lat
Palackeho,15.421978,50.033354

,,"Product name","Product type",,,
,,Thermostat,NATherm1,,,

Timestamp,"Timezone : Europe/Prague","Temperature °C","Setpoint Temperature °C","Boiler ON","Boiler OFF",
1769944650,"2026/02/01 12:17:30",23.1,23,0,603,
1769945250,"2026/02/01 12:27:30",23,23,0,602,
1769945850,"2026/02/01 12:37:30",23,23,0,603,
1769946450,"2026/02/01 12:47:30",23.4,26.7,44,569,
1769947050,"2026/02/01 12:57:30",23.7,23,0,592,
1769947650,"2026/02/01 13:07:30",23.3,23,0,602,
1769948250,"2026/02/01 13:17:30",23.2,23,0,603,
1769948850,"2026/02/01 13:27:30",23.1,23,0,602,
1769949450,"2026/02/01 13:37:30",23.1,23,0,592,
1769950050,"2026/02/01 13:47:30",23.1,23,0,602,
1769950650,"2026/02/01 13:57:30",23.1,23,0,603,
1769951250,"2026/02/01 14:07:30",23,23,0,602,
1769951850,"2026/02/01 14:17:30",23,23,0,592,
1769952450,"2026/02/01 14:27:30",22.9,23,0,603,
1769953050,"2026/02/01 14:37:30",22.9,23,0,602,
1769953650,"2026/02/01 14:47:30",22.9,23,0,603,
1769954250,"2026/02/01 14:57:30",22.8,23,355,247,
1769954850,"2026/02/01 15:07:30",22.8,23,592,0,
1769955450,"2026/02/01 15:17:30",22.7,23,602,0,
1769956050,"2026/02/01 15:27:30",22.7,23,603,0,
1769956650,"2026/02/01 15:37:30",22.6,23,602,0,
1769957250,"2026/02/01 15:47:30",22.6,23,592,0,
1769957850,"2026/02/01 15:57:30",22.6,23,603,0,
1769958450,"2026/02/01 16:07:30",22.6,23,602,0,
1769959050,"2026/02/01 16:17:30",22.6,23,603,0,
1769959650,"2026/02/01 16:27:30",22.6,23,591,0,
1769960250,"2026/02/01 16:37:30",22.6,23,603,0,
1769960850,"2026/02/01 16:47:30",22.6,23,602,0,
1769961450,"2026/02/01 16:57:30",22.6,23,603,0,
1769962050,"2026/02/01 17:07:30",22.5,23,602,0,
1769962650,"2026/02/01 17:17:30",22.5,23,592,0,
1769963250,"2026/02/01 17:27:30",22.5,23,603,0,
1769963850,"2026/02/01 17:37:30",22.5,23,602,0,
1769964450,"2026/02/01 17:47:30",22.5,23,603,0,
1769965050,"2026/02/01 17:57:30",22.6,23,591,0,
1769965650,"2026/02/01 18:07:30",22.6,23,603,0,
1769966250,"2026/02/01 18:17:30",22.7,23,602,0,
1769966850,"2026/02/01 18:27:30",22.7,23,603,0,
1769967450,"2026/02/01 18:37:30",22.7,23,592,0,
1769968050,"2026/02/01 18:47:30",22.7,23,602,0,
1769968650,"2026/02/01 18:57:30",22.7,23,603,0,
1769969250,"2026/02/01 19:07:30",22.7,23,602,0,
